Date,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
7/15/2011,131.66,131.87,130.77,131.69,220012800,103.22,0.005804807,103.55,102.7678
7/18/2011,131.08,131.28,129.63,130.61,196872100,102.38,-0.008201178,103.7,102.7312
7/19/2011,131.34,132.89,131.31,132.73,166554900,104.04,0.016231396,103.875,102.7186
7/20/2011,133.07,133.15,132.42,132.65,137145400,103.97,-0.000602433,103.9828571,102.6964
7/21/2011,133.4,134.82,132.67,134.49,245246300,105.42,0.013870776,104.1242857,102.6854
7/22/2011,134.52,134.72,133.76,134.58,126019400,105.49,0.000669094,104.1614286,102.698
7/25/2011,133.3,134.49,133.16,133.83,136653800,104.9,-0.005572662,104.1628571,102.6888
7/26/2011,133.74,133.96,133.03,133.33,131278200,104.51,-0.003736024,104.1271429,102.688
7/27/2011,132.59,132.63,130.43,130.6,249020100,102.37,-0.020475603,103.8607143,102.6578
7/28/2011,130.6,131.77,130.01,130.22,207939900,102.07,-0.002909402,103.6264286,102.6218
7/29/2011,128.91,130.55,127.97,129.33,307038400,101.37,-0.006834848,103.4785714,102.5532
8/1/2011,130.84,130.96,127.53,128.78,325790900,100.94,-0.004252635,103.3321429,102.4712
8/2/2011,127.81,128.5,125.49,125.49,346653800,98.36,-0.02554746,102.9764286,102.3542
8/3/2011,125.66,126.31,123.53,126.17,370830800,98.9,0.00541879,102.71,102.2722
8/4/2011,124.42,124.62,120.06,120.26,520721800,94.26,-0.046841455,102.07,102.099
8/5/2011,121.76,122.07,116.86,120.08,655619200,94.12,-0.001496694,101.48,101.9162
8/8/2011,116.91,120.12,112.02,112.26,702263900,87.99,-0.065123379,100.3335714,101.6014
8/9/2011,114.07,117.64,110.27,117.48,717828700,92.08,0.046499158,99.48428571,101.3604
8/10/2011,115.26,116.28,111.95,112.29,662607400,88.02,-0.044177872,98.24142857,101.0164
8/11/2011,113.26,118.92,112.32,117.33,487979700,91.97,0.044883472,97.27571429,100.7988
8/12/2011,118.4,119.21,117.28,118.12,313731600,92.59,0.006733752,96.39642857,100.5958
8/15/2011,119.19,120.74,119,120.62,258810600,94.55,0.021164907,95.685,100.4524
8/16/2011,119.47,120.69,118.31,119.59,294095200,93.74,-0.008539232,95.06857143,100.3142
8/17/2011,120.25,121.2,118.72,119.67,238201100,93.8,0.00066887,94.47785714,100.1786
8/18/2011,116.5,119.71,113.39,114.51,512956300,89.76,-0.043118559,93.64857143,99.9706
8/19/2011,112.96,115.88,112.5,112.64,428281300,88.29,-0.016330504,92.745,99.7178
8/22/2011,115.17,115.23,112.41,112.73,275090600,88.36,0.000799231,92.03071429,99.4946
8/23/2011,113.15,116.57,112.58,116.44,331136600,91.27,0.032910002,91.48571429,99.328
8/24/2011,116.19,118.24,115.92,118.08,246869700,92.55,0.014084701,91.36357143,99.1618
8/25/2011,118.73,119.4,115.87,116.28,312365400,91.14,-0.015243513,91.15071429,99.0032
8/26/2011,115.69,118.51,113.85,117.97,314495900,92.47,0.014533829,91.47071429,98.8668
8/29/2011,119.56,121.43,118.06,121.36,190977200,95.13,0.028735981,91.68857143,98.7776
8/30/2011,120.83,122.43,119.26,121.68,241315700,95.38,0.002636539,92.21428571,98.6834
8/31/2011,122.46,123.51,121.3,122.22,301828400,95.8,0.004437924,92.48785714,98.57
9/1/2011,122.29,123.4,120.78,120.94,254585900,94.8,-0.010472825,92.64571429,98.449
9/2/2011,118.42,120.87,117.43,117.85,255517200,92.37,-0.025549916,92.49,98.2852
9/6/2011,114.39,117.16,114.38,116.99,285130500,91.7,-0.007297712,92.34428571,98.1312
9/7/2011,118.76,120.34,118.36,120.29,209803200,94.29,0.028207782,92.37928571,98.0114
9/8/2011,119.57,120.94,118.77,119.04,250568200,93.31,-0.010391713,92.63285714,97.8458
9/9/2011,117.68,119.06,115.28,115.92,380195100,90.86,-0.026209241,92.81642857,97.6138
9/12/2011,114.47,116.76,114.05,116.67,305793500,91.45,0.006469959,93.03714286,97.374
9/13/2011,117.05,118.18,116.22,117.74,272514700,92.29,0.009170976,93.11,97.1204
9/14/2011,118.34,120.8,116.72,119.37,319389500,93.57,0.013844118,93.18285714,96.8942
9/15/2011,120.65,121.47,119.4,121.43,326777200,95.18,0.01725755,93.47142857,96.6976
9/16/2011,121.29,121.97,120.32,121.52,284528300,95.74,0.005918271,93.705,96.4904
9/19/2011,119.53,120.93,118.72,120.31,241517000,94.79,-0.009956995,93.68071429,96.2792
9/20/2011,120.82,121.99,120.01,120.17,218932200,94.68,-0.001163927,93.63071429,96.104
9/21/2011,120.23,120.6,116.44,116.63,316251300,91.89,-0.029457961,93.35142857,95.882
9/22/2011,113.25,114.21,111.3,112.86,513911300,88.92,-0.032324708,92.93142857,95.5936
9/23/2011,112.11,114.16,112.02,113.54,307242500,89.46,0.006025591,92.72357143,95.3302
9/26/2011,114.61,116.4,112.98,116.24,260673700,91.58,0.023779838,92.715,95.0974
9/27/2011,118.53,119.56,116.84,117.54,311753900,92.61,0.011183515,92.595,94.902
9/28/2011,117.78,118.49,114.97,115.14,286696800,90.72,-0.020418586,92.41,94.6356
9/29/2011,117.05,117.63,113.93,116.05,298108900,91.43,0.007903429,92.45071429,94.3848
9/30/2011,114.45,115.45,113.07,113.15,288392300,89.15,-0.024989019,92.28642857,94.0594
10/3/2011,112.49,113.95,109.81,109.93,365136800,86.61,-0.028457653,91.88071429,93.6818
10/4/2011,108.35,112.58,107.43,112.34,459177500,88.51,0.021922802,91.51928571,93.354
10/5/2011,112.62,114.72,111.58,114.42,284108000,90.15,0.018515321,91.16,93.0668
10/6/2011,114.36,116.66,113.51,116.49,257800800,91.78,0.018091143,90.87714286,92.855
10/7/2011,117.17,117.25,115.06,115.71,312657900,91.17,-0.006695859,90.61857143,92.637
10/10/2011,117.68,119.63,117.67,119.58,230666300,94.21,0.033445965,90.585,92.4938
10/11/2011,118.87,120.04,118.75,119.7,209088000,94.31,0.001003083,90.75785714,92.3612
10/12/2011,120.6,122.14,120.33,120.75,281544900,95.14,0.008772124,91.20214286,92.2968
10/13/2011,120.04,120.87,119.12,120.51,212538800,94.95,-0.00198753,91.59428571,92.2178
10/14/2011,121.91,122.6,121.23,122.57,211397600,96.57,0.017093818,91.95071429,92.264
10/17/2011,121.99,122.55,119.93,120.23,202311600,94.73,-0.019091148,92.10214286,92.2762
10/18/2011,120.14,123.5,119.2,122.58,318857900,96.58,0.019546073,92.52071429,92.448
10/19/2011,122.38,123.08,120.71,121.13,226601300,95.44,-0.011829066,92.80714286,92.5152
10/20/2011,121.43,122.1,119.82,121.66,262075600,95.85,0.004375172,93.28571429,92.6718
10/21/2011,123.09,124.12,122.72,123.97,278999400,97.67,0.018987685,94.07571429,92.7858
10/24/2011,124.17,125.8,124.06,125.49,203215600,98.87,0.012261021,94.81571429,92.9114
10/25/2011,124.89,124.95,122.78,123.05,268596800,96.95,-0.019443722,95.30142857,92.9594
10/26/2011,124.35,124.77,122.21,124.3,289053800,97.93,0.0101582,95.74071429,93.0432
10/27/2011,127.63,129.42,126.61,128.63,393220200,101.35,0.034835125,96.46785714,93.1942
10/28/2011,128,128.85,127.8,128.6,225906500,101.32,-0.000233071,96.97571429,93.4254
10/31/2011,127.16,128.62,125.32,125.5,228146700,98.88,-0.024105724,97.30214286,93.6372
11/1/2011,122.03,123.51,121.52,122,416565800,96.12,-0.027888904,97.37214286,93.7924
11/2/2011,123.83,124.4,122.79,123.99,244717600,97.69,0.016311988,97.56785714,93.9208
11/3/2011,125.27,126.5,123.6,126.25,291174800,99.47,0.018226939,97.775,94.0592
11/4/2011,125.23,125.7,124.01,125.48,249401600,98.86,-0.006098762,98.07,94.2136
11/7/2011,125.39,126.39,124.2,126.26,196617200,99.48,0.006216057,98.27714286,94.3538
11/8/2011,126.92,128.02,125.71,127.88,224426300,100.75,0.012830818,98.65642857,94.4662
11/9/2011,124.89,125.8,122.86,123.16,337982000,97.04,-0.036909416,98.74142857,94.4994
11/10/2011,124.79,124.94,123.02,124.32,231866500,97.95,0.009418386,98.76142857,94.5424
11/11/2011,125.83,126.99,125.79,126.66,189924400,99.79,0.018822407,98.82714286,94.6422
11/14/2011,126.19,127.45,124.92,125.46,159258300,98.85,-0.00947426,98.96285714,94.7718
11/15/2011,125.17,126.75,124.72,126.08,184709400,99.34,0.004941901,99.06357143,94.9246
11/16/2011,124.81,126.34,123.9,124.08,235782500,97.76,-0.015862919,98.80714286,94.994
11/17/2011,123.85,124.16,121.23,122.11,331219600,96.21,-0.015876834,98.44214286,95.052
11/18/2011,122.5,122.75,121.47,121.98,215580400,96.11,-0.001064615,98.24428571,95.157
11/21/2011,120.2,120.35,118.65,119.66,229611600,94.28,-0.019019395,98.11285714,95.2136
11/22/2011,119.4,120.1,118.52,119.19,216494900,93.91,-0.003927997,97.84285714,95.246
11/23/2011,118.07,119.19,116.56,116.56,224329100,91.84,-0.022065537,97.29785714,95.2114
11/25/2011,116.38,117.7,116.2,116.34,99557000,91.66,-0.001887422,96.78357143,95.141
11/28/2011,119.54,120.18,118.82,119.71,210686000,94.32,0.028966897,96.415,95.1126
